;ID;CLUSTER
611;Aube | 2006;0
612;Aude | 2006;0
613;Aveyron | 2006;0
614;Bouches-du-Rhône | 2006;4
615;Calvados | 2006;2
616;Cantal | 2006;0
617;Charente | 2006;0
618;Charente-Maritime | 2006;2
619;Cher | 2006;0
620;Corrèze | 2006;0
621;Côte-d'Or | 2006;2
622;Côtes-d'Armor | 2006;2
623;Creuse | 2006;0
624;Dordogne | 2006;0
625;Doubs | 2006;2
626;Drôme | 2006;0
627;Eure | 2006;2
628;Eure-et-Loir | 2006;0
629;Finistère | 2006;4
630;Corse-du-Sud | 2006;0
631;Haute-Corse | 2006;0
632;Gard | 2006;2
633;Haute-Garonne | 2006;2
634;Gers | 2006;0
635;Gironde | 2006;4
636;Hérault | 2006;2
637;Ille-et-Vilaine | 2006;2
638;Indre | 2006;0
639;Indre-et-Loire | 2006;2
640;Isère | 2006;2
641;Jura | 2006;0
642;Landes | 2006;0
643;Loir-et-Cher | 2006;0
644;Loire | 2006;2
645;Haute-Loire | 2006;0
646;Loire-Atlantique | 2006;4
647;Loiret | 2006;2
648;Lot | 2006;0
649;Lot-et-Garonne | 2006;0
650;Lozère | 2006;0
651;Maine-et-Loire | 2006;2
652;Manche | 2006;2
653;Marne | 2006;2
654;Haute-Marne | 2006;0
655;Mayenne | 2006;0
656;Meurthe-et-Moselle | 2006;2
657;Meuse | 2006;0
658;Morbihan | 2006;2
659;Moselle | 2006;4
660;Nièvre | 2006;0
661;Nord | 2006;3
662;Oise | 2006;2
663;Orne | 2006;0
664;Pas-de-Calais | 2006;4
665;Puy-de-Dôme | 2006;2
666;Pyrénées-Atlantiques | 2006;2
667;Hautes-Pyrénées | 2006;0
668;Pyrénées-Orientales | 2006;0
669;Bas-Rhin | 2006;4
670;Haut-Rhin | 2006;2
671;Rhône | 2006;4
672;Haute-Saône | 2006;0
673;Saône-et-Loire | 2006;2
674;Sarthe | 2006;2
675;Savoie | 2006;0
676;Haute-Savoie | 2006;2
677;Paris | 2006;3
678;Seine-Maritime | 2006;4
679;Seine-et-Marne | 2006;2
680;Yvelines | 2006;4
681;Deux-Sèvres | 2006;0
682;Somme | 2006;2
683;Tarn | 2006;0
684;Tarn-et-Garonne | 2006;0
685;Var | 2006;2
686;Vaucluse | 2006;2
687;Vendée | 2006;2
688;Vienne | 2006;0
689;Haute-Vienne | 2006;0
690;Vosges | 2006;2
691;Yonne | 2006;0
692;Territoire de Belfort | 2006;0
693;Essonne | 2006;2
694;Hauts-de-Seine | 2006;4
695;Seine-Saint-Denis | 2006;4
696;Val-de-Marne | 2006;4
697;Val-d'Oise | 2006;2
698;Guadeloupe | 2006;2
699;Martinique | 2006;2
700;Guyane | 2006;0
701;La Réunion | 2006;2
702;faute de frappe | 2006;1
703;Ain | 2011;0
704;Aisne | 2011;2
705;Allier | 2011;0
706;Alpes-de-Haute-Provence | 2011;0
707;Hautes-Alpes | 2011;0
708;Alpes-Maritimes | 2011;2
709;Ardèche | 2011;0
710;Ardennes | 2011;0
711;Ariège | 2011;0
712;Aube | 2011;0
713;Aude | 2011;0
714;Aveyron | 2011;0
715;Bouches-du-Rhône | 2011;4
716;Calvados | 2011;2
717;Cantal | 2011;0
718;Charente | 2011;0
719;Charente-Maritime | 2011;2
720;Cher | 2011;0
721;Corrèze | 2011;0
722;Côte-d'Or | 2011;2
723;Côtes-d'Armor | 2011;2
724;Creuse | 2011;0
725;Dordogne | 2011;0
726;Doubs | 2011;2
727;Drôme | 2011;0
728;Eure | 2011;0
729;Eure-et-Loir | 2011;0
730;Finistère | 2011;2
731;Corse-du-Sud | 2011;0
732;Haute-Corse | 2011;0
733;Gard | 2011;2
734;Haute-Garonne | 2011;2
735;Gers | 2011;0
736;Gironde | 2011;4
737;Hérault | 2011;2
738;Ille-et-Vilaine | 2011;2
739;Indre | 2011;0
740;Indre-et-Loire | 2011;2
741;Isère | 2011;2
742;Jura | 2011;0
743;Landes | 2011;0
744;Loir-et-Cher | 2011;0
745;Loire | 2011;2
746;Haute-Loire | 2011;0
747;Loire-Atlantique | 2011;4
748;Loiret | 2011;2
749;Lot | 2011;0
750;Lot-et-Garonne | 2011;0
751;Lozère | 2011;0
752;Maine-et-Loire | 2011;2
753;Manche | 2011;2
754;Marne | 2011;2
755;Haute-Marne | 2011;0
756;Mayenne | 2011;0
757;Meurthe-et-Moselle | 2011;2
758;Meuse | 2011;0
759;Morbihan | 2011;2
760;Moselle | 2011;4
761;Nièvre | 2011;0
762;Nord | 2011;3
763;Oise | 2011;2
764;Orne | 2011;0
765;Pas-de-Calais | 2011;4
766;Puy-de-Dôme | 2011;2
767;Pyrénées-Atlantiques | 2011;2
768;Hautes-Pyrénées | 2011;0
769;Pyrénées-Orientales | 2011;0
770;Bas-Rhin | 2011;4
771;Haut-Rhin | 2011;2
772;Rhône | 2011;4
773;Haute-Saône | 2011;0
774;Saône-et-Loire | 2011;2
775;Sarthe | 2011;2
776;Savoie | 2011;0
777;Haute-Savoie | 2011;2
778;Paris | 2011;3
779;Seine-Maritime | 2011;4
780;Seine-et-Marne | 2011;2
781;Yvelines | 2011;4
782;Deux-Sèvres | 2011;0
783;Somme | 2011;2
784;Tarn | 2011;0
785;Tarn-et-Garonne | 2011;0
786;Var | 2011;2
787;Vaucluse | 2011;2
788;Vendée | 2011;2
789;Vienne | 2011;0
790;Haute-Vienne | 2011;0
791;Vosges | 2011;2
792;Yonne | 2011;0
793;Territoire de Belfort | 2011;0
794;Essonne | 2011;2
795;Hauts-de-Seine | 2011;4
796;Seine-Saint-Denis | 2011;4
797;Val-de-Marne | 2011;4
798;Val-d'Oise | 2011;2
799;Guadeloupe | 2011;2
800;Martinique | 2011;2
801;Guyane | 2011;0
802;La Réunion | 2011;2
803;faute de frappe | 2011;1
