;ID;CLUSTER
583;Territoire de Belfort | 1999;1
584;Essonne | 1999;1
585;Hauts-de-Seine | 1999;1
586;Seine-Saint-Denis | 1999;1
587;Val-de-Marne | 1999;1
588;Val-d'Oise | 1999;1
589;Guadeloupe | 1999;1
590;Martinique | 1999;1
591;Guyane | 1999;1
592;La Réunion | 1999;1
593;faute de frappe | 1999;0
594;Ain | 2006;1
595;Aisne | 2006;1
596;Allier | 2006;1
597;Alpes-de-Haute-Provence | 2006;1
598;Hautes-Alpes | 2006;1
599;Alpes-Maritimes | 2006;1
600;Ardèche | 2006;1
601;Ardennes | 2006;1
602;Ariège | 2006;1
603;Aube | 2006;1
604;Aude | 2006;1
605;Aveyron | 2006;1
606;Bouches-du-Rhône | 2006;1
607;Calvados | 2006;1
608;Cantal | 2006;1
609;Charente | 2006;1
610;Charente-Maritime | 2006;1
611;Cher | 2006;1
612;Corrèze | 2006;1
613;Côte-d'Or | 2006;1
614;Côtes-d'Armor | 2006;1
615;Creuse | 2006;1
616;Dordogne | 2006;1
617;Doubs | 2006;1
618;Drôme | 2006;1
619;Eure | 2006;1
620;Eure-et-Loir | 2006;1
621;Finistère | 2006;1
622;Corse-du-Sud | 2006;1
623;Haute-Corse | 2006;1
624;Gard | 2006;1
625;Haute-Garonne | 2006;1
626;Gers | 2006;1
627;Gironde | 2006;1
628;Hérault | 2006;1
629;Ille-et-Vilaine | 2006;1
630;Indre | 2006;1
631;Indre-et-Loire | 2006;1
632;Isère | 2006;1
633;Jura | 2006;1
634;Landes | 2006;1
635;Loir-et-Cher | 2006;1
636;Loire | 2006;1
637;Haute-Loire | 2006;1
638;Loire-Atlantique | 2006;1
639;Loiret | 2006;1
640;Lot | 2006;1
641;Lot-et-Garonne | 2006;1
642;Lozère | 2006;1
643;Maine-et-Loire | 2006;1
644;Manche | 2006;1
645;Marne | 2006;1
646;Haute-Marne | 2006;1
647;Mayenne | 2006;1
648;Meurthe-et-Moselle | 2006;1
649;Meuse | 2006;1
650;Morbihan | 2006;1
651;Moselle | 2006;1
652;Nièvre | 2006;1
653;Nord | 2006;1
654;Oise | 2006;1
655;Orne | 2006;1
656;Pas-de-Calais | 2006;1
657;Puy-de-Dôme | 2006;1
658;Pyrénées-Atlantiques | 2006;1
659;Hautes-Pyrénées | 2006;1
660;Pyrénées-Orientales | 2006;1
661;Bas-Rhin | 2006;1
662;Haut-Rhin | 2006;1
663;Rhône | 2006;1
664;Haute-Saône | 2006;1
665;Saône-et-Loire | 2006;1
666;Sarthe | 2006;1
667;Savoie | 2006;1
668;Haute-Savoie | 2006;1
669;Paris | 2006;1
670;Seine-Maritime | 2006;1
671;Seine-et-Marne | 2006;1
672;Yvelines | 2006;1
673;Deux-Sèvres | 2006;1
674;Somme | 2006;1
675;Tarn | 2006;1
676;Tarn-et-Garonne | 2006;1
677;Var | 2006;1
678;Vaucluse | 2006;1
679;Vendée | 2006;1
680;Vienne | 2006;1
681;Haute-Vienne | 2006;1
682;Vosges | 2006;1
683;Yonne | 2006;1
684;Territoire de Belfort | 2006;1
685;Essonne | 2006;1
686;Hauts-de-Seine | 2006;1
687;Seine-Saint-Denis | 2006;1
688;Val-de-Marne | 2006;1
689;Val-d'Oise | 2006;1
690;Guadeloupe | 2006;1
691;Martinique | 2006;1
692;Guyane | 2006;1
693;La Réunion | 2006;1
694;faute de frappe | 2006;0
695;Ain | 2011;1
696;Aisne | 2011;1
697;Allier | 2011;1
698;Alpes-de-Haute-Provence | 2011;1
699;Hautes-Alpes | 2011;1
700;Alpes-Maritimes | 2011;1
701;Ardèche | 2011;1
702;Ardennes | 2011;1
